RowNumber,Loan_ID,CustomerId,Surname,Designation,Education,Self_Employed,CreditScore,Credit_History,Geography,Property_Area,Married,Gender,Age,Tenure,Balance,HasCar,NumOfProducts,HasCrCard,IsActiveMember,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,EstimatedSalary,Exited,Loan_Status,No Customer,LoanAmount
152,LP001529,15759618,Alexeeva,Manager,Graduate,Yes,535,1,France,Rural,Divorced,Female,48,9,0,Yes,Yes,Yes,No,0,2577,3750,152,149892.79,1,Y,1,116
153,LP001531,15811589,Metcalfe,Sr Manager,Graduate,No,716,1,Spain,Urban,No,Male,42,8,0,Yes,2,Yes,No,0,9166,0,244,180800.42,0,N,1,967
154,LP001532,15689044,Humphries,AVP,Not Graduate,No,539,1,France,Rural,Divorced,Male,37,2,127609.59,Yes,Yes,Yes,No,2,2281,0,113,98646.22,0,N,1,242
155,LP001535,15709368,Milne,Executive,Graduate,No,614,1,France,Urban,No,Female,43,6,0,Yes,2,Yes,Yes,0,3254,0,50,109041.53,0,Y,1,128
156,LP001536,15679145,Chou,Executive,Graduate,No,706,0,Spain,Semiurban,Married,Male,57,7,0,Yes,Yes,Yes,No,3+,39999,0,600,17941.16,1,Y,1,743
157,LP001541,15655007,Li,AVP,Graduate,No,758,0,France,Rural,Divorced,Female,33,7,0,No,2,No,No,1,6000,0,160,82996.47,0,Y,1,377
158,LP001543,15623595,Clayton,Manager,Graduate,No,586,1,Spain,Urban,Married,Female,28,2,0,Yes,2,Yes,Yes,1,9538,0,187,92067.35,0,Y,1,710
159,LP001546,15589975,Maclean,Manager,Graduate,No,646,1,France,Rural,No,Female,73,6,97259.25,No,Yes,No,Yes,0,2980,2083,120,104719.66,0,Y,1,682
160,LP001552,15804017,Chigolum,Executive,Graduate,No,631,1,Germany,Semiurban,Married,Female,33,4,123246.7,No,Yes,No,No,0,4583,5625,255,112687.57,0,Y,1,226
161,LP001560,15692132,Wilkinson,Manager,Not Graduate,No,717,1,Spain,Semiurban,Married,Female,22,6,101060.25,No,Yes,No,Yes,0,1863,1041,98,84699.56,0,Y,1,895
162,LP001562,15641122,Wei,Manager,Graduate,No,684,1,France,Urban,Divorced,Male,30,2,0,Yes,2,Yes,No,0,7933,0,275,83473.82,0,N,1,993
163,LP001565,15630910,Treacy,Manager,Graduate,No,800,0,France,Semiurban,Divorced,Female,49,7,108007.36,No,Yes,No,No,1,3089,1280,121,47125.11,0,N,1,721
164,LP001570,15680772,Hu,Manager,Graduate,No,721,1,Spain,Rural,Married,Female,36,2,0,Yes,2,Yes,Yes,2,4167,1447,158,106977.8,0,Y,1,989
165,LP001572,15658929,Taverner,Executive,Graduate,No,683,1,Spain,Urban,Married,Male,29,0,133702.89,Yes,Yes,Yes,No,0,9323,0,75,55582.54,1,Y,1,490
166,LP001574,15585388,Sherman,Manager,Graduate,No,660,1,Germany,Rural,Married,Male,31,9,125189.75,Yes,2,Yes,Yes,0,3707,3166,182,139874.43,0,Y,1,311
167,LP001577,15724623,Taubman,Sr Manager,Graduate,No,704,1,Germany,Rural,Married,Female,24,7,113034.22,Yes,Yes,Yes,No,0,4583,0,112,162503.48,1,N,1,279
168,LP001578,15588537,Robinson,VP,Graduate,No,615,1,Spain,Rural,Divorced,Female,41,9,109013.23,Yes,Yes,Yes,No,0,2439,3333,129,196499.96,0,Y,1,820
169,LP001579,15574692,Pinto,Sr Manager,Graduate,No,667,0,Spain,Semiurban,No,Female,39,2,0,Yes,2,Yes,No,0,2237,0,63,40721.24,1,N,1,593
170,LP001580,15611325,Wood,Manager,Graduate,No,682,1,Germany,Semiurban,Divorced,Male,24,9,57929.81,No,2,No,No,2,8000,0,200,53134.3,0,Y,1,627
171,LP001581,15587562,Hawkins,Manager,Not Graduate,No,484,1,France,Rural,Married,Female,29,4,130114.39,Yes,Yes,Yes,No,0,1820,1769,95,164017.89,0,Y,1,265
172,LP001585,15613172,Sun,VP,Graduate,No,628,1,Germany,Urban,Divorced,Male,27,5,95826.49,Yes,2,Yes,No,3+,51763,0,700,155996.96,0,Y,1,156
173,LP001586,15651022,Yost,Manager,Not Graduate,No,480,1,Germany,Rural,Divorced,Male,44,10,129608.57,Yes,Yes,Yes,No,3+,3522,0,81,5472.7,1,N,1,665
174,LP001594,15586310,Ting,Manager,Graduate,No,578,1,France,Semiurban,Divorced,Male,30,4,169462.09,Yes,Yes,Yes,No,0,5708,5625,187,112187.11,0,Y,1,822
175,LP001603,15625524,Rowe,Manager,Not Graduate,Yes,512,1,France,Semiurban,Divorced,Male,40,5,0,Yes,2,Yes,Yes,0,4344,736,87,146457.83,0,N,1,948
176,LP001606,15755209,Fu,Sr Manager,Graduate,No,484,1,Spain,Rural,Divorced,Female,35,7,133868.21,Yes,Yes,Yes,Yes,0,3497,1964,116,27286.1,0,Y,1,450
177,LP001608,15645248,Ho,Manager,Graduate,No,510,1,France,Rural,Married,Female,30,0,0,Yes,2,Yes,Yes,2,2045,1619,101,130553.47,0,Y,1,884
178,LP001610,15790355,Okechukwu,Manager,Graduate,No,606,0,Germany,Semiurban,Divorced,Male,36,5,190479.48,No,2,No,No,3+,5516,11300,495,179351.89,0,N,1,115
179,LP001616,15762615,Campbell,Executive,Graduate,No,597,1,Spain,Semiurban,Divorced,Female,40,8,101993.12,No,Yes,No,Yes,1,3750,0,116,94774.12,0,Y,1,851
180,LP001630,15625426,Ashbolt,Manager,Not Graduate,No,754,0,Germany,Urban,No,Female,55,3,161608.81,Yes,Yes,Yes,No,0,2333,1451,102,8080.85,1,N,1,776
181,LP001633,15716334,Rozier,Executive,Graduate,No,850,0,Spain,Urban,Married,Female,45,2,122311.21,Yes,Yes,Yes,Yes,1,6400,7250,180,19482.5,0,N,1,721
182,LP001634,15789669,Hsia,Sr Manager,Graduate,No,510,0,France,Rural,No,Male,65,2,0,Yes,2,Yes,Yes,0,1916,5063,67,48071.61,0,N,1,297
183,LP001636,15621075,Ogbonnaya,Manager,Graduate,No,778,1,Germany,Semiurban,Divorced,Female,45,1,162150.42,Yes,2,Yes,No,0,4600,0,73,174531.27,0,Y,1,172
184,LP001637,15810845,T'ang,Manager,Graduate,No,636,1,France,Semiurban,Divorced,Male,42,2,0,Yes,2,Yes,Yes,1,33846,0,260,55470.78,0,N,1,325
185,LP001639,15719377,Cocci,Manager,Graduate,No,804,1,France,Semiurban,Divorced,Female,50,4,0,Yes,Yes,Yes,Yes,0,3625,0,108,8546.87,1,Y,1,569
186,LP001640,15654506,Chang,Manager,Graduate,Yes,514,1,France,Semiurban,Married,Male,32,8,0,Yes,2,Yes,No,0,39147,4750,120,95857.18,0,Y,1,925
187,LP001641,15771977,T'ao,Manager,Graduate,Yes,730,0,France,Rural,Married,Female,39,1,99010.67,Yes,Yes,Yes,No,1,2178,0,66,194945.8,0,N,1,967
188,LP001643,15708710,Ford,Manager,Graduate,No,525,0,Spain,Rural,Divorced,Female,37,0,0,No,Yes,No,Yes,0,2383,2138,58,131521.72,0,Y,1,965
189,LP001644,15726676,Marshall,Manager,Graduate,Yes,616,1,Spain,Rural,Divorced,Male,30,5,0,No,2,No,Yes,0,674,5296,168,196108.51,0,Y,1,611
190,LP001647,15587421,Tsai,Executive,Graduate,No,687,1,Germany,Rural,Divorced,Female,34,7,111388.18,Yes,2,Yes,No,0,9328,0,188,148564.76,0,Y,1,623
191,LP001653,15726931,Onwumelu,Sr Manager,Not Graduate,No,715,1,France,Rural,No,Female,41,8,56214.85,No,2,No,No,0,4885,0,48,92982.61,1,Y,1,128
192,LP001656,15771086,Graham,Executive,Graduate,No,512,1,France,Semiurban,No,Female,36,3,84327.77,Yes,2,Yes,No,0,12000,0,164,17675.36,0,N,1,775
193,LP001657,15756850,Golovanov,Manager,Not Graduate,No,479,1,France,Urban,Married,Male,40,1,0,No,2,No,No,0,6033,0,160,114996.43,0,N,1,744
194,LP001658,15702741,Potts,Manager,Graduate,No,601,1,France,Semiurban,No,Male,32,8,93012.89,Yes,Yes,Yes,No,0,3858,0,76,86957.42,0,Y,1,447
195,LP001664,15679200,Crawford,Manager,Graduate,No,580,1,Spain,Rural,No,Male,29,9,61710.44,Yes,2,Yes,No,0,4191,0,120,128077.8,0,Y,1,521
196,LP001665,15594815,Aleshire,Manager,Graduate,No,807,1,France,Semiurban,Divorced,Male,35,3,174790.15,Yes,Yes,Yes,Yes,1,3125,2583,170,600.36,0,N,1,679
197,LP001666,15635905,Moran,Manager,Graduate,No,616,1,Spain,Rural,No,Female,32,6,0,Yes,2,Yes,Yes,0,8333,3750,187,43001.46,0,Y,1,693
198,LP001669,15777892,Samsonova,Manager,Not Graduate,No,721,1,Germany,Urban,No,Male,37,3,107720.64,Yes,Yes,Yes,Yes,0,1907,2365,120,158591.12,0,Y,1,524
199,LP001671,15656176,Jenkins,AVP,Graduate,No,501,1,France,Semiurban,Married,Male,57,10,0,Yes,2,Yes,Yes,0,3416,2816,113,47847.19,0,Y,1,135
200,LP001673,15811127,Volkov,Manager,Graduate,Yes,521,1,France,Urban,No,Male,35,6,96423.84,Yes,Yes,Yes,No,0,11000,0,83,10488.44,0,N,1,881
201,LP001674,15604482,Chiemezie,Manager,Not Graduate,No,850,1,Spain,Semiurban,Divorced,Male,30,2,141040.01,Yes,Yes,Yes,Yes,1,2600,2500,90,5978.2,0,Y,1,584
202,LP001677,15622911,Jude,Sr Manager,Graduate,No,759,0,France,Semiurban,No,Male,42,4,105420.18,No,Yes,No,Yes,2,4923,0,166,121409.06,0,Y,1,627
203,LP001682,15600974,He,Executive,Not Graduate,No,516,1,Spain,Urban,Divorced,Male,50,5,0,No,Yes,No,Yes,3+,3992,0,,146145.93,1,N,1,970
204,LP001688,15727868,Onuora,Executive,Not Graduate,No,711,1,France,Urban,Divorced,Female,38,2,129022.06,Yes,2,Yes,Yes,1,3500,1083,135,14374.86,1,Y,1,670
205,LP001691,15627801,Ginikanwa,Sr Manager,Not Graduate,No,512,1,Spain,Semiurban,Divorced,Male,33,3,176666.62,Yes,Yes,Yes,No,2,3917,0,124,94670.77,0,Y,1,187
206,LP001692,15773039,Ku,Sr Manager,Not Graduate,No,550,1,France,Semiurban,No,Male,37,3,0,Yes,Yes,Yes,Yes,0,4408,0,120,179670.31,0,Y,1,198
207,LP001693,15755262,McDonald,AVP,Graduate,No,608,1,Spain,Urban,No,Female,41,3,89763.84,No,Yes,No,No,0,3244,0,80,199304.74,1,Y,1,621
208,LP001698,15679531,Collins,Manager,Not Graduate,No,618,1,France,Rural,No,Male,34,5,134954.53,Yes,Yes,Yes,Yes,0,3975,2531,55,151954.39,0,Y,1,481
209,LP001699,15684181,Hackett,Sr Manager,Graduate,No,643,1,France,Urban,No,Male,45,5,0,Yes,Yes,Yes,No,0,2479,0,59,142513.5,1,Y,1,365
210,LP001702,15612087,Dike,Executive,Graduate,No,671,1,France,Semiurban,No,Male,45,2,106376.85,No,Yes,No,Yes,0,3418,0,127,158264.62,0,N,1,911
211,LP001708,15752047,Trevisano,Executive,Graduate,No,689,1,Germany,Semiurban,No,Male,33,2,161814.64,Yes,2,Yes,No,0,10000,0,214,169381.9,0,N,1,890
212,LP001711,15624592,Tan,Manager,Graduate,No,603,0,France,Semiurban,Married,Male,31,8,0,Yes,2,Yes,Yes,3+,3430,1250,128,169915.02,0,N,1,547
213,LP001713,15573152,Glassman,Manager,Graduate,Yes,620,1,France,Urban,Married,Female,41,9,0,No,2,No,No,1,7787,0,240,88852.47,0,Y,1,941
214,LP001715,15594917,Miller,Manager,Not Graduate,Yes,676,1,France,Rural,Divorced,Female,34,1,63095.01,Yes,Yes,Yes,Yes,3+,5703,0,130,40645.81,0,Y,1,196
215,LP001716,15785542,Kornilova,Manager,Graduate,No,572,1,Germany,Urban,Divorced,Male,26,4,118287.01,No,2,No,No,0,3173,3021,137,60427.3,0,Y,1,977
216,LP001720,15723488,Watson,Executive,Not Graduate,No,668,1,Germany,Semiurban,Married,Male,47,7,106854.21,No,Yes,No,Yes,3+,3850,983,100,157959.02,1,Y,1,378
217,LP001722,15680920,Marchesi,Manager,Graduate,No,695,1,France,Rural,Divorced,Male,46,7,49512.55,Yes,Yes,Yes,No,0,150,1800,135,133007.34,0,N,1,133
218,LP001726,15786308,Millar,Sr Manager,Graduate,No,730,1,Spain,Semiurban,Divorced,Female,33,9,0,No,2,No,No,0,3727,1775,131,176576.62,0,Y,1,457
219,LP001732,15659366,Shih,Manager,Graduate,No,807,0,France,Semiurban,Divorced,Male,43,1,105799.32,Yes,2,Yes,No,2,5000,0,72,34888.04,1,N,1,948
220,LP001734,15774854,Fuller,Executive,Graduate,No,592,0,France,Semiurban,Married,Male,54,8,0,Yes,Yes,Yes,Yes,2,4283,2383,127,28737.71,1,Y,1,840
221,LP001736,15725311,Hay,Executive,Graduate,No,726,0,France,Urban,Divorced,Female,31,9,114722.05,Yes,2,Yes,Yes,0,2221,0,60,98178.57,0,N,1,784
222,LP001743,15787155,Yang,Executive,Graduate,No,514,1,Spain,Semiurban,Divorced,Male,30,7,0,No,Yes,No,Yes,2,4009,1717,116,125010.24,0,Y,1,932
223,LP001744,15727829,McIntyre,Manager,Graduate,No,567,1,France,Semiurban,No,Male,42,2,0,Yes,2,Yes,Yes,0,2971,2791,144,167984.61,0,Y,1,510
224,LP001749,15733247,Stevenson,Executive,Graduate,No,850,1,France,Semiurban,Divorced,Male,33,10,0,Yes,Yes,Yes,No,0,7578,1010,175,4861.72,1,Y,1,485
225,LP001750,15568748,Poole,Manager,Graduate,No,671,1,Germany,Semiurban,Divorced,Male,45,6,99564.22,Yes,Yes,Yes,Yes,0,6250,0,128,108872.45,1,Y,1,561
226,LP001751,15699029,Bagley,Manager,Graduate,No,670,1,France,Rural,Married,Male,37,4,170557.91,Yes,2,Yes,No,0,3250,0,170,198252.88,0,N,1,752
227,LP001754,15774393,Ch'ien,Manager,Not Graduate,Yes,694,1,France,Urban,Divorced,Female,30,9,0,Yes,2,Yes,Yes,0,4735,0,138,26960.31,0,N,1,451
228,LP001758,15676895,Cattaneo,Manager,Graduate,No,547,1,Germany,Semiurban,Married,Female,39,6,74596.15,Yes,3,Yes,Yes,2,6250,1695,210,85746.52,1,Y,1,503
229,LP001760,15637753,O'Sullivan,Manager,Graduate,No,751,1,Germany,Semiurban,Divorced,Male,50,2,96888.39,Yes,Yes,Yes,No,0,4758,0,158,77206.25,1,Y,1,201
230,LP001761,15605461,Lucas,Manager,Graduate,Yes,594,1,Germany,Rural,No,Female,29,3,130830.22,Yes,Yes,Yes,No,0,6400,0,200,61048.53,0,Y,1,377
231,LP001765,15808473,Ringrose,Executive,Graduate,No,673,1,France,Semiurban,Married,Male,72,1,0,No,2,No,Yes,1,2491,2054,104,111981.19,0,Y,1,612
232,LP001768,15627000,Freeman,Executive,Graduate,No,610,1,France,Rural,Divorced,Male,40,0,0,Yes,2,Yes,No,0,3716,0,42,62232.6,0,Y,1,213
233,LP001770,15787174,Sergeyev,Executive,Not Graduate,No,512,1,France,Rural,No,Female,37,1,0,No,2,No,Yes,0,3189,2598,120,156105.03,0,Y,1,979
234,LP001776,15723886,Fiore,Manager,Graduate,No,767,1,Germany,Semiurban,No,Male,20,3,119714.25,No,2,No,Yes,0,8333,0,280,150135.38,0,Y,1,909
235,LP001778,15704769,Smith,Executive,Graduate,No,585,1,France,Semiurban,Married,Female,67,5,113978.97,No,2,No,Yes,1,3155,1779,140,93146.11,0,Y,1,596
236,LP001784,15772896,Dumetochukwu,Manager,Graduate,No,763,1,Germany,Rural,Divorced,Male,42,6,100160.75,Yes,Yes,Yes,No,1,5500,1260,170,33462.94,1,Y,1,674
237,LP001786,15711540,Pacheco,Executive,Graduate,No,712,1,France,Urban,Divorced,Female,29,2,0,Yes,Yes,Yes,Yes,0,5746,0,255,144375,0,N,1,621
238,LP001788,15764866,Synnot,Manager,Graduate,Yes,539,1,Germany,Urban,No,Female,43,3,116220.5,Yes,3,Yes,No,0,3463,0,122,55803.96,1,Y,1,916
239,LP001790,15794056,Johnston,Manager,Graduate,No,668,1,France,Rural,No,Female,46,2,0,Yes,3,Yes,No,1,3812,0,112,89048.46,1,Y,1,523
240,LP001792,15795149,Stevens,Manager,Graduate,No,703,1,France,Semiurban,Divorced,Male,28,2,81173.83,No,2,No,Yes,1,3315,0,96,162812.16,0,Y,1,913
241,LP001798,15812009,Grant,Sr Manager,Graduate,No,662,1,Spain,Rural,Divorced,Male,38,4,0,Yes,2,Yes,No,2,5819,5000,120,136259.65,0,Y,1,257
242,LP001800,15651001,Tsao,Manager,Not Graduate,No,725,1,Germany,Urban,Married,Female,39,5,116803.8,Yes,Yes,Yes,No,1,2510,1983,140,124052.97,0,N,1,815
243,LP001806,15813844,Barnes,Manager,Graduate,No,703,1,France,Urban,No,Male,37,8,105961.68,No,2,No,Yes,0,2965,5701,155,74158.8,0,Y,1,237
244,LP001807,15596175,McIntosh,Manager,Graduate,Yes,659,1,Germany,Rural,Married,Male,67,6,117411.6,Yes,Yes,Yes,Yes,2,6250,1300,108,45071.09,1,Y,1,518
245,LP001811,15576269,Madison,Manager,Not Graduate,No,523,1,Spain,Semiurban,Divorced,Male,34,7,0,Yes,2,Yes,No,0,3406,4417,123,62030.06,0,Y,1,348
246,LP001813,15797219,Ifesinachi,Manager,Graduate,Yes,635,1,France,Urban,No,Female,40,10,123497.58,Yes,Yes,Yes,No,0,6050,4333,120,131953.23,1,N,1,512
247,LP001814,15685500,Glazkov,AVP,Graduate,No,772,1,Germany,Urban,Married,Male,26,7,152400.51,Yes,2,Yes,No,2,9703,0,112,79414,0,Y,1,497
248,LP001819,15599792,Dimauro,Manager,Not Graduate,No,545,1,France,Urban,Married,Female,26,1,0,Yes,2,Yes,Yes,1,6608,0,137,199638.56,0,Y,1,231
249,LP001824,15657566,Wieck,Executive,Graduate,No,634,1,Germany,Semiurban,Divorced,Male,24,8,103097.85,Yes,Yes,Yes,Yes,1,2882,1843,123,157577.29,0,Y,1,791
250,LP001825,15772423,Liao,Executive,Graduate,No,739,1,Germany,Urban,Divorced,Male,54,8,126418.14,Yes,Yes,Yes,No,0,1809,1868,90,134420.75,1,Y,1,565
251,LP001835,15628112,Hughes,Executive,Not Graduate,No,771,0,Germany,Semiurban,Divorced,Female,36,5,77846.9,No,Yes,No,No,0,1668,3890,201,99805.99,0,N,1,552
252,LP001836,15753754,Morrison,Sr Manager,Graduate,No,587,1,Spain,Urban,No,Female,34,1,0,Yes,2,Yes,Yes,2,3427,0,138,97932.68,0,N,1,539
253,LP001841,15793726,Matveyeva,Manager,Not Graduate,Yes,681,1,France,Rural,No,Female,79,0,0,No,2,No,Yes,0,2583,2167,104,170968.99,0,Y,1,199
254,LP001843,15694717,Ku,Sr Manager,Not Graduate,No,544,1,Germany,Semiurban,Divorced,Male,37,2,79731.91,Yes,Yes,Yes,Yes,1,2661,7101,279,57558.95,0,Y,1,819
255,LP001844,15665834,Cheatham,Manager,Graduate,Yes,696,0,Spain,Urban,No,Male,28,8,0,No,Yes,No,No,0,16250,0,192,176713.47,0,N,1,958
256,LP001846,15765297,Yao,Executive,Graduate,No,766,1,Spain,Rural,No,Male,41,0,0,No,2,No,Yes,3+,3083,0,255,34283.23,0,Y,1,620
257,LP001849,15636684,Kirkland,Sr Manager,Not Graduate,No,727,0,France,Rural,No,Male,34,10,0,Yes,2,Yes,Yes,0,6045,0,115,198637.34,0,N,1,697
258,LP001854,15592979,Rose,Executive,Graduate,No,671,1,Germany,Urban,Divorced,Female,34,6,37266.67,No,2,No,No,3+,5250,0,94,156917.12,0,N,1,454
259,LP001859,15750803,Jess,Executive,Graduate,No,693,1,France,Rural,Divorced,Female,30,6,127992.25,Yes,Yes,Yes,Yes,0,14683,2100,304,50457.2,0,N,1,350
260,LP001864,15607178,Welch,Manager,Not Graduate,No,850,1,Germany,Semiurban,Married,Male,38,3,54901.01,Yes,Yes,Yes,Yes,3+,4931,0,128,140075.55,0,N,1,758
261,LP001865,15713853,Ifeajuna,Executive,Graduate,No,732,1,Germany,Urban,Divorced,Male,42,9,108748.08,Yes,2,Yes,Yes,1,6083,4250,330,65323.11,0,Y,1,976
262,LP001868,15673481,Morton,Manager,Graduate,No,726,1,Spain,Semiurban,No,Female,48,6,99906.19,Yes,Yes,Yes,No,0,2060,2209,134,64323.24,0,Y,1,436
263,LP001870,15686776,Rossi,Manager,Graduate,No,557,1,France,Semiurban,No,Female,32,6,184686.41,Yes,2,Yes,No,1,3481,0,155,14956.44,0,N,1,527
264,LP001871,15673693,Reppert,Sr Manager,Graduate,No,682,1,France,Rural,No,Female,26,0,110654.02,No,Yes,No,Yes,0,7200,0,120,111879.21,0,Y,1,121
265,LP001872,15700696,Kang,Manager,Graduate,Yes,738,1,Spain,Semiurban,No,Male,31,9,79019.8,Yes,Yes,Yes,Yes,0,5166,0,128,18606.23,0,Y,1,327
266,LP001875,15813163,Ch'iu,Executive,Graduate,No,531,1,Spain,Rural,No,Female,36,9,99240.51,Yes,Yes,Yes,No,0,4095,3447,151,123137.01,0,Y,1,792
267,LP001877,15653857,Wallis,Manager,Graduate,No,498,1,France,Semiurban,Divorced,Male,34,2,0,Yes,2,Yes,Yes,2,4708,1387,150,148528.24,0,Y,1,235
268,LP001882,15777076,Clark,AVP,Graduate,No,651,0,France,Urban,Divorced,Male,36,7,0,Yes,2,Yes,No,3+,4333,1811,160,13898.31,0,Y,1,531
269,LP001883,15717398,Fielding,Manager,Graduate,No,549,1,Spain,Rural,No,Female,39,7,0,No,Yes,No,No,0,3418,0,135,81259.25,1,N,1,780
270,LP001884,15799217,Zetticci,Sr Manager,Graduate,No,791,1,Germany,Urban,No,Female,35,7,52436.2,Yes,Yes,Yes,No,1,2876,1560,90,161051.75,0,Y,1,616
271,LP001888,15787071,Dulhunty,AVP,Graduate,No,650,1,Spain,Urban,No,Male,41,9,0,No,2,No,Yes,0,3237,0,30,191599.67,0,Y,1,714
272,LP001891,15619955,Bevington,Manager,Graduate,No,733,1,Germany,Urban,Divorced,Male,34,3,100337.96,Yes,3,Yes,No,0,11146,0,136,48559.19,1,Y,1,685
273,LP001892,15796505,Boyle,Manager,Graduate,No,811,1,Germany,Rural,No,Female,34,1,149297.19,Yes,2,Yes,Yes,0,2833,1857,126,186339.74,0,Y,1,157
274,LP001894,15725166,Newton,VP,Graduate,No,707,1,France,Semiurban,Divorced,Male,30,8,0,Yes,2,Yes,No,0,2620,2223,150,33159.37,0,Y,1,260
275,LP001896,15800116,Bowman,Manager,Graduate,No,712,1,Germany,Semiurban,Married,Male,28,4,145605.44,No,Yes,No,Yes,2,3900,0,90,93883.53,0,Y,1,395
276,LP001900,15758685,Dubinina,Manager,Graduate,No,706,1,Spain,Semiurban,Married,Female,37,7,0,Yes,2,Yes,Yes,1,2750,1842,115,110899.3,0,Y,1,184
277,LP001903,15694456,Toscani,Executive,Graduate,No,756,1,France,Semiurban,Married,Male,62,3,0,Yes,Yes,Yes,Yes,0,3993,3274,207,11199.04,1,Y,1,562
278,LP001904,15767339,Chiazagomekpere,Manager,Graduate,No,777,1,France,Urban,Married,Female,53,10,0,Yes,2,Yes,No,0,3103,1300,80,189992.97,0,Y,1,469
279,LP001907,15683562,Allen,Manager,Graduate,No,646,1,France,Semiurban,Married,Male,35,6,84026.86,No,Yes,No,Yes,0,14583,0,436,164255.69,0,Y,1,215
280,LP001908,15782210,K'ung,Manager,Not Graduate,No,714,1,France,Rural,Divorced,Male,46,1,0,Yes,Yes,Yes,No,0,4100,0,124,152167.79,1,Y,1,502
281,LP001910,15668893,Wilsmore,Manager,Not Graduate,Yes,782,0,France,Urban,No,Male,39,8,0,Yes,2,Yes,Yes,1,4053,2426,158,33949.67,0,N,1,949
282,LP001914,15669169,Hargreaves,Executive,Graduate,No,775,1,Spain,Semiurban,Divorced,Male,29,10,0,Yes,2,Yes,Yes,0,3927,800,112,68143.93,0,Y,1,343
283,LP001915,15643024,Huang,VP,Graduate,No,479,1,Germany,Urban,Divorced,Male,35,4,138718.92,Yes,Yes,Yes,Yes,2,2301,985.7999878,78,47251.79,1,Y,1,848
284,LP001917,15699389,Ch'ien,Sr Manager,Graduate,No,807,1,France,Urban,No,Male,42,7,118274.71,Yes,Yes,Yes,Yes,0,1811,1666,54,25885.72,0,Y,1,789
285,LP001922,15708608,Wallwork,AVP,Graduate,No,799,1,France,Rural,Divorced,Female,22,8,174185.98,No,2,No,Yes,0,20667,0,,192633.85,0,N,1,377
286,LP001924,15626144,Chu,Manager,Graduate,No,675,1,France,Rural,No,Male,40,7,113208.86,Yes,2,Yes,No,0,3158,3053,89,34577.36,0,Y,1,546
287,LP001925,15573112,Kang,Manager,Graduate,Yes,602,1,Spain,Semiurban,No,Male,29,5,103907.28,Yes,Yes,Yes,No,0,2600,1717,99,161229.84,0,N,1,323
288,LP001926,15790678,Davidson,Manager,Graduate,No,475,1,France,Rural,Married,Female,32,8,119023.28,Yes,Yes,Yes,No,0,3704,2000,120,100816.29,0,Y,1,562
289,LP001931,15727556,O'Donnell,Manager,Graduate,No,744,1,Spain,Semiurban,No,Female,26,5,166297.89,Yes,Yes,Yes,Yes,0,4124,0,115,181694.44,0,Y,1,393
290,LP001935,15697307,Nnachetam,Manager,Graduate,No,588,1,Spain,Rural,No,Male,34,10,0,Yes,2,Yes,No,0,9508,0,187,79078.91,0,Y,1,337
291,LP001936,15652266,Chidiebele,Sr Manager,Graduate,No,703,1,Germany,Rural,Married,Male,42,9,63227,No,Yes,No,Yes,0,3075,2416,139,137316.32,0,Y,1,991
292,LP001938,15607098,Ahmed,Manager,Graduate,No,747,0,Spain,Semiurban,Married,Female,41,5,94521.17,Yes,2,Yes,No,2,4400,0,127,194926.86,0,N,1,254
293,LP001940,15655774,Booth,Executive,Graduate,No,583,1,France,Urban,Married,Male,27,7,0,Yes,2,Yes,No,2,3153,1560,134,51285.49,0,Y,1,225
294,LP001945,15590241,Chuang,AVP,Graduate,No,750,0,Spain,Urban,No,Female,34,9,112822.26,No,Yes,No,No,0,5417,0,143,150401.53,1,N,1,930
295,LP001947,15785819,Shao,Sr Manager,Graduate,No,681,1,France,Semiurban,Divorced,Male,38,3,0,Yes,2,Yes,Yes,0,2383,3334,172,112491.96,0,Y,1,514
296,LP001949,15723654,Tsao,Executive,Graduate,No,773,1,France,Urban,Divorced,Male,25,2,135903.33,Yes,Yes,Yes,No,3+,4416,1250,110,73656.38,0,Y,1,875
297,LP001953,15774510,Tien,AVP,Graduate,No,714,1,France,Semiurban,Divorced,Female,31,4,125169.26,Yes,Yes,Yes,Yes,1,6875,0,200,106636.89,0,Y,1,537
298,LP001954,15684173,Chang,Manager,Graduate,No,687,1,Spain,Urban,Divorced,Female,44,7,0,Yes,3,Yes,No,1,4666,0,135,155853.52,1,Y,1,903
299,LP001955,15650068,Johnson,Manager,Graduate,No,511,1,France,Rural,No,Male,58,0,149117.31,Yes,Yes,Yes,Yes,0,5000,2541,151,162599.51,0,N,1,944
300,LP001963,15811490,French,Manager,Graduate,No,627,1,France,Urban,Married,Male,33,5,0,Yes,2,Yes,Yes,1,2014,2925,113,103737.82,0,N,1,209
301,LP001964,15803976,Efremov,VP,Not Graduate,No,694,0,France,Urban,Divorced,Female,31,10,0,Yes,2,Yes,No,0,1800,2934,93,160990.27,0,N,1,731
302,LP001972,15682541,Hartley,Manager,Not Graduate,No,616,1,Spain,Semiurban,Married,Female,36,6,132311.71,No,Yes,No,No,0,2875,1750,105,15462.84,0,Y,1,239
303,LP001974,15695699,Calabrese,Executive,Graduate,No,687,1,France,Rural,No,Male,35,8,0,Yes,2,Yes,No,0,5000,0,132,10334.05,0,Y,1,714
304,LP001977,15624188,Chiu,Manager,Graduate,No,712,1,France,Urban,Divorced,Female,33,6,0,Yes,2,Yes,Yes,1,1625,1803,96,190686.16,0,Y,1,421
