RowNumber,Loan_ID,CustomerId,Surname,Designation,Education,Self_Employed,CreditScore,Credit_History,Geography,Property_Area,Married,Gender,Age,Tenure,Balance,HasCar,NumOfProducts,HasCrCard,IsActiveMember,Dependents,ApplicantIncome,CoapplicantIncome, EstimatedSalary ,Exited,No Customer,LoanAmount,Loan_Status
143,LP001504,15628145,Forwood,Manager,Graduate,Yes,682,Yes,France,Semiurban,Not Married,Female,43,5,125851.93,Yes,Yes,Yes,Yes,0,6950,0,"1,93,318",0,1,905,Loan Approved
144,LP001507,15713483,Greeves,Sr Manager,Graduate,No,793,Yes,Spain,Semiurban,Divorced,Male,52,2,0,Yes,Yes,Yes,No,0,2698,2034,"1,59,124",1,1,485,Loan Approved
145,LP001508,15612350,Taylor,Manager,Graduate,No,691,Yes,France,Urban,Married,Female,31,5,40915.55,Yes,Yes,Yes,No,2,11757,0,"1,26,214",1,1,667,Loan Approved
146,LP001514,15800703,Madukwe,Executive,Graduate,No,485,Yes,Spain,Semiurban,Divorced,Female,21,5,113157.22,Yes,Yes,Yes,Yes,0,2330,4486,"54,142",0,1,899,Loan Approved
147,LP001516,15705707,Bennelong,Manager,Graduate,No,635,Yes,Spain,Urban,Divorced,Female,29,8,138296.94,Yes,2,Yes,No,2,14866,0,"1,41,076",0,1,629,Loan Approved
148,LP001518,15754105,Olisanugo,Sr Manager,Graduate,No,650,Yes,France,Urban,Divorced,Male,37,5,106967.18,No,Yes,No,No,1,1538,1425,"24,495",0,1,927,Loan Approved
149,LP001519,15703264,Chukwufumnanya,Manager,Graduate,No,735,Yes,France,Rural,Not Married,Male,44,9,120681.63,Yes,Yes,Yes,No,0,10000,1666,"74,836",0,1,652,Not Approved
150,LP001520,15794413,Harris,Executive,Graduate,No,416,Yes,France,Semiurban,Divorced,Male,32,0,0,No,2,No,Yes,0,4860,830,879,0,1,247,Loan Approved
151,LP001528,15650237,Morgan,Executive,Graduate,No,754,No,Spain,Rural,Not Married,Female,32,7,0,Yes,2,Yes,No,0,6277,0,"89,521",0,1,724,Not Approved
152,LP001529,15759618,Alexeeva,Manager,Graduate,Yes,535,Yes,France,Rural,Divorced,Female,48,9,0,Yes,Yes,Yes,No,0,2577,3750,"1,49,893",1,1,116,Loan Approved
153,LP001531,15811589,Metcalfe,Sr Manager,Graduate,No,716,Yes,Spain,Urban,Not Married,Male,42,8,0,Yes,2,Yes,No,0,9166,0,"1,80,800",0,1,967,Not Approved
154,LP001532,15689044,Humphries,AVP,Not Graduate,No,539,Yes,France,Rural,Divorced,Male,37,2,127609.59,Yes,Yes,Yes,No,2,2281,0,"98,646",0,1,242,Not Approved
155,LP001535,15709368,Milne,Executive,Graduate,No,614,Yes,France,Urban,Not Married,Female,43,6,0,Yes,2,Yes,Yes,0,3254,0,"1,09,042",0,1,128,Loan Approved
156,LP001536,15679145,Chou,Executive,Graduate,No,706,No,Spain,Semiurban,Married,Male,57,7,0,Yes,Yes,Yes,No,3+,39999,0,"17,941",1,1,743,Loan Approved
157,LP001541,15655007,Li,AVP,Graduate,No,758,No,France,Rural,Divorced,Female,33,7,0,No,2,No,No,1,6000,0,"82,996",0,1,377,Loan Approved
158,LP001543,15623595,Clayton,Manager,Graduate,No,586,Yes,Spain,Urban,Married,Female,28,2,0,Yes,2,Yes,Yes,1,9538,0,"92,067",0,1,710,Loan Approved
159,LP001546,15589975,Maclean,Manager,Graduate,No,646,Yes,France,Rural,Not Married,Female,73,6,97259.25,No,Yes,No,Yes,0,2980,2083,"1,04,720",0,1,682,Loan Approved
160,LP001552,15804017,Chigolum,Executive,Graduate,No,631,Yes,Germany,Semiurban,Married,Female,33,4,123246.7,No,Yes,No,No,0,4583,5625,"1,12,688",0,1,226,Loan Approved
161,LP001560,15692132,Wilkinson,Manager,Not Graduate,No,717,Yes,Spain,Semiurban,Married,Female,22,6,101060.25,No,Yes,No,Yes,0,1863,1041,"84,700",0,1,895,Loan Approved
162,LP001562,15641122,Wei,Manager,Graduate,No,684,Yes,France,Urban,Divorced,Male,30,2,0,Yes,2,Yes,No,0,7933,0,"83,474",0,1,993,Not Approved
163,LP001565,15630910,Treacy,Manager,Graduate,No,800,No,France,Semiurban,Divorced,Female,49,7,108007.36,No,Yes,No,No,1,3089,1280,"47,125",0,1,721,Not Approved
164,LP001570,15680772,Hu,Manager,Graduate,No,721,Yes,Spain,Rural,Married,Female,36,2,0,Yes,2,Yes,Yes,2,4167,1447,"1,06,978",0,1,989,Loan Approved
165,LP001572,15658929,Taverner,Executive,Graduate,No,683,Yes,Spain,Urban,Married,Male,29,0,133702.89,Yes,Yes,Yes,No,0,9323,0,"55,583",1,1,490,Loan Approved
166,LP001574,15585388,Sherman,Manager,Graduate,No,660,Yes,Germany,Rural,Married,Male,31,9,125189.75,Yes,2,Yes,Yes,0,3707,3166,"1,39,874",0,1,311,Loan Approved
167,LP001577,15724623,Taubman,Sr Manager,Graduate,No,704,Yes,Germany,Rural,Married,Female,24,7,113034.22,Yes,Yes,Yes,No,0,4583,0,"1,62,503",1,1,279,Not Approved
168,LP001578,15588537,Robinson,VP,Graduate,No,615,Yes,Spain,Rural,Divorced,Female,41,9,109013.23,Yes,Yes,Yes,No,0,2439,3333,"1,96,500",0,1,820,Loan Approved
169,LP001579,15574692,Pinto,Sr Manager,Graduate,No,667,No,Spain,Semiurban,Not Married,Female,39,2,0,Yes,2,Yes,No,0,2237,0,"40,721",1,1,593,Not Approved
170,LP001580,15611325,Wood,Manager,Graduate,No,682,Yes,Germany,Semiurban,Divorced,Male,24,9,57929.81,No,2,No,No,2,8000,0,"53,134",0,1,627,Loan Approved
171,LP001581,15587562,Hawkins,Manager,Not Graduate,No,484,Yes,France,Rural,Married,Female,29,4,130114.39,Yes,Yes,Yes,No,0,1820,1769,"1,64,018",0,1,265,Loan Approved
172,LP001585,15613172,Sun,VP,Graduate,No,628,Yes,Germany,Urban,Divorced,Male,27,5,95826.49,Yes,2,Yes,No,3+,51763,0,"1,55,997",0,1,156,Loan Approved
173,LP001586,15651022,Yost,Manager,Not Graduate,No,480,Yes,Germany,Rural,Divorced,Male,44,10,129608.57,Yes,Yes,Yes,No,3+,3522,0,"5,473",1,1,665,Not Approved
174,LP001594,15586310,Ting,Manager,Graduate,No,578,Yes,France,Semiurban,Divorced,Male,30,4,169462.09,Yes,Yes,Yes,No,0,5708,5625,"1,12,187",0,1,822,Loan Approved
175,LP001603,15625524,Rowe,Manager,Not Graduate,Yes,512,Yes,France,Semiurban,Divorced,Male,40,5,0,Yes,2,Yes,Yes,0,4344,736,"1,46,458",0,1,948,Not Approved
176,LP001606,15755209,Fu,Sr Manager,Graduate,No,484,Yes,Spain,Rural,Divorced,Female,35,7,133868.21,Yes,Yes,Yes,Yes,0,3497,1964,"27,286",0,1,450,Loan Approved
177,LP001608,15645248,Ho,Manager,Graduate,No,510,Yes,France,Rural,Married,Female,30,0,0,Yes,2,Yes,Yes,2,2045,1619,"1,30,553",0,1,884,Loan Approved
178,LP001610,15790355,Okechukwu,Manager,Graduate,No,606,No,Germany,Semiurban,Divorced,Male,36,5,190479.48,No,2,No,No,3+,5516,11300,"1,79,352",0,1,115,Not Approved
179,LP001616,15762615,Campbell,Executive,Graduate,No,597,Yes,Spain,Semiurban,Divorced,Female,40,8,101993.12,No,Yes,No,Yes,1,3750,0,"94,774",0,1,851,Loan Approved
180,LP001630,15625426,Ashbolt,Manager,Not Graduate,No,754,No,Germany,Urban,Not Married,Female,55,3,161608.81,Yes,Yes,Yes,No,0,2333,1451,"8,081",1,1,776,Not Approved
181,LP001633,15716334,Rozier,Executive,Graduate,No,850,No,Spain,Urban,Married,Female,45,2,122311.21,Yes,Yes,Yes,Yes,1,6400,7250,"19,483",0,1,721,Not Approved
182,LP001634,15789669,Hsia,Sr Manager,Graduate,No,510,No,France,Rural,Not Married,Male,65,2,0,Yes,2,Yes,Yes,0,1916,5063,"48,072",0,1,297,Not Approved
183,LP001636,15621075,Ogbonnaya,Manager,Graduate,No,778,Yes,Germany,Semiurban,Divorced,Female,45,1,162150.42,Yes,2,Yes,No,0,4600,0,"1,74,531",0,1,172,Loan Approved
184,LP001637,15810845,T'ang,Manager,Graduate,No,636,Yes,France,Semiurban,Divorced,Male,42,2,0,Yes,2,Yes,Yes,1,33846,0,"55,471",0,1,325,Not Approved
185,LP001639,15719377,Cocci,Manager,Graduate,No,804,Yes,France,Semiurban,Divorced,Female,50,4,0,Yes,Yes,Yes,Yes,0,3625,0,"8,547",1,1,569,Loan Approved
186,LP001640,15654506,Chang,Manager,Graduate,Yes,514,Yes,France,Semiurban,Married,Male,32,8,0,Yes,2,Yes,No,0,39147,4750,"95,857",0,1,925,Loan Approved
187,LP001641,15771977,T'ao,Manager,Graduate,Yes,730,No,France,Rural,Married,Female,39,1,99010.67,Yes,Yes,Yes,No,1,2178,0,"1,94,946",0,1,967,Not Approved
188,LP001643,15708710,Ford,Manager,Graduate,No,525,No,Spain,Rural,Divorced,Female,37,0,0,No,Yes,No,Yes,0,2383,2138,"1,31,522",0,1,965,Loan Approved
189,LP001644,15726676,Marshall,Manager,Graduate,Yes,616,Yes,Spain,Rural,Divorced,Male,30,5,0,No,2,No,Yes,0,674,5296,"1,96,109",0,1,611,Loan Approved
190,LP001647,15587421,Tsai,Executive,Graduate,No,687,Yes,Germany,Rural,Divorced,Female,34,7,111388.18,Yes,2,Yes,No,0,9328,0,"1,48,565",0,1,623,Loan Approved
191,LP001653,15726931,Onwumelu,Sr Manager,Not Graduate,No,715,Yes,France,Rural,Not Married,Female,41,8,56214.85,No,2,No,No,0,4885,0,"92,983",1,1,128,Loan Approved
192,LP001656,15771086,Graham,Executive,Graduate,No,512,Yes,France,Semiurban,Not Married,Female,36,3,84327.77,Yes,2,Yes,No,0,12000,0,"17,675",0,1,775,Not Approved
193,LP001657,15756850,Golovanov,Manager,Not Graduate,No,479,Yes,France,Urban,Married,Male,40,1,0,No,2,No,No,0,6033,0,"1,14,996",0,1,744,Not Approved
194,LP001658,15702741,Potts,Manager,Graduate,No,601,Yes,France,Semiurban,Not Married,Male,32,8,93012.89,Yes,Yes,Yes,No,0,3858,0,"86,957",0,1,447,Loan Approved
195,LP001664,15679200,Crawford,Manager,Graduate,No,580,Yes,Spain,Rural,Not Married,Male,29,9,61710.44,Yes,2,Yes,No,0,4191,0,"1,28,078",0,1,521,Loan Approved
196,LP001665,15594815,Aleshire,Manager,Graduate,No,807,Yes,France,Semiurban,Divorced,Male,35,3,174790.15,Yes,Yes,Yes,Yes,1,3125,2583,600,0,1,679,Not Approved
197,LP001666,15635905,Moran,Manager,Graduate,No,616,Yes,Spain,Rural,Not Married,Female,32,6,0,Yes,2,Yes,Yes,0,8333,3750,"43,001",0,1,693,Loan Approved
198,LP001669,15777892,Samsonova,Manager,Not Graduate,No,721,Yes,Germany,Urban,Not Married,Male,37,3,107720.64,Yes,Yes,Yes,Yes,0,1907,2365,"1,58,591",0,1,524,Loan Approved
199,LP001671,15656176,Jenkins,AVP,Graduate,No,501,Yes,France,Semiurban,Married,Male,57,10,0,Yes,2,Yes,Yes,0,3416,2816,"47,847",0,1,135,Loan Approved
200,LP001673,15811127,Volkov,Manager,Graduate,Yes,521,Yes,France,Urban,Not Married,Male,35,6,96423.84,Yes,Yes,Yes,No,0,11000,0,"10,488",0,1,881,Not Approved
201,LP001674,15604482,Chiemezie,Manager,Not Graduate,No,850,Yes,Spain,Semiurban,Divorced,Male,30,2,141040.01,Yes,Yes,Yes,Yes,1,2600,2500,"5,978",0,1,584,Loan Approved
202,LP001677,15622911,Jude,Sr Manager,Graduate,No,759,No,France,Semiurban,Not Married,Male,42,4,105420.18,No,Yes,No,Yes,2,4923,0,"1,21,409",0,1,627,Loan Approved
203,LP001682,15600974,He,Executive,Not Graduate,No,516,Yes,Spain,Urban,Divorced,Male,50,5,0,No,Yes,No,Yes,3+,3992,0,"1,46,146",1,1,970,Not Approved
204,LP001688,15727868,Onuora,Executive,Not Graduate,No,711,Yes,France,Urban,Divorced,Female,38,2,129022.06,Yes,2,Yes,Yes,1,3500,1083,"14,375",1,1,670,Loan Approved
205,LP001691,15627801,Ginikanwa,Sr Manager,Not Graduate,No,512,Yes,Spain,Semiurban,Divorced,Male,33,3,176666.62,Yes,Yes,Yes,No,2,3917,0,"94,671",0,1,187,Loan Approved
206,LP001692,15773039,Ku,Sr Manager,Not Graduate,No,550,Yes,France,Semiurban,Not Married,Male,37,3,0,Yes,Yes,Yes,Yes,0,4408,0,"1,79,670",0,1,198,Loan Approved
207,LP001693,15755262,McDonald,AVP,Graduate,No,608,Yes,Spain,Urban,Not Married,Female,41,3,89763.84,No,Yes,No,No,0,3244,0,"1,99,305",1,1,621,Loan Approved
208,LP001698,15679531,Collins,Manager,Not Graduate,No,618,Yes,France,Rural,Not Married,Male,34,5,134954.53,Yes,Yes,Yes,Yes,0,3975,2531,"1,51,954",0,1,481,Loan Approved
209,LP001699,15684181,Hackett,Sr Manager,Graduate,No,643,Yes,France,Urban,Not Married,Male,45,5,0,Yes,Yes,Yes,No,0,2479,0,"1,42,514",1,1,365,Loan Approved
210,LP001702,15612087,Dike,Executive,Graduate,No,671,Yes,France,Semiurban,Not Married,Male,45,2,106376.85,No,Yes,No,Yes,0,3418,0,"1,58,265",0,1,911,Not Approved
211,LP001708,15752047,Trevisano,Executive,Graduate,No,689,Yes,Germany,Semiurban,Not Married,Male,33,2,161814.64,Yes,2,Yes,No,0,10000,0,"1,69,382",0,1,890,Not Approved
212,LP001711,15624592,Tan,Manager,Graduate,No,603,No,France,Semiurban,Married,Male,31,8,0,Yes,2,Yes,Yes,3+,3430,1250,"1,69,915",0,1,547,Not Approved
213,LP001713,15573152,Glassman,Manager,Graduate,Yes,620,Yes,France,Urban,Married,Female,41,9,0,No,2,No,No,1,7787,0,"88,852",0,1,941,Loan Approved
214,LP001715,15594917,Miller,Manager,Not Graduate,Yes,676,Yes,France,Rural,Divorced,Female,34,1,63095.01,Yes,Yes,Yes,Yes,3+,5703,0,"40,646",0,1,196,Loan Approved
215,LP001716,15785542,Kornilova,Manager,Graduate,No,572,Yes,Germany,Urban,Divorced,Male,26,4,118287.01,No,2,No,No,0,3173,3021,"60,427",0,1,977,Loan Approved
216,LP001720,15723488,Watson,Executive,Not Graduate,No,668,Yes,Germany,Semiurban,Married,Male,47,7,106854.21,No,Yes,No,Yes,3+,3850,983,"1,57,959",1,1,378,Loan Approved
217,LP001722,15680920,Marchesi,Manager,Graduate,No,695,Yes,France,Rural,Divorced,Male,46,7,49512.55,Yes,Yes,Yes,No,0,150,1800,"1,33,007",0,1,133,Not Approved
218,LP001726,15786308,Millar,Sr Manager,Graduate,No,730,Yes,Spain,Semiurban,Divorced,Female,33,9,0,No,2,No,No,0,3727,1775,"1,76,577",0,1,457,Loan Approved
219,LP001732,15659366,Shih,Manager,Graduate,No,807,No,France,Semiurban,Divorced,Male,43,1,105799.32,Yes,2,Yes,No,2,5000,0,"34,888",1,1,948,Not Approved
220,LP001734,15774854,Fuller,Executive,Graduate,No,592,No,France,Semiurban,Married,Male,54,8,0,Yes,Yes,Yes,Yes,2,4283,2383,"28,738",1,1,840,Loan Approved
221,LP001736,15725311,Hay,Executive,Graduate,No,726,No,France,Urban,Divorced,Female,31,9,114722.05,Yes,2,Yes,Yes,0,2221,0,"98,179",0,1,784,Not Approved
222,LP001743,15787155,Yang,Executive,Graduate,No,514,Yes,Spain,Semiurban,Divorced,Male,30,7,0,No,Yes,No,Yes,2,4009,1717,"1,25,010",0,1,932,Loan Approved
223,LP001744,15727829,McIntyre,Manager,Graduate,No,567,Yes,France,Semiurban,Not Married,Male,42,2,0,Yes,2,Yes,Yes,0,2971,2791,"1,67,985",0,1,510,Loan Approved
224,LP001749,15733247,Stevenson,Executive,Graduate,No,850,Yes,France,Semiurban,Divorced,Male,33,10,0,Yes,Yes,Yes,No,0,7578,1010,"4,862",1,1,485,Loan Approved
225,LP001750,15568748,Poole,Manager,Graduate,No,671,Yes,Germany,Semiurban,Divorced,Male,45,6,99564.22,Yes,Yes,Yes,Yes,0,6250,0,"1,08,872",1,1,561,Loan Approved
226,LP001751,15699029,Bagley,Manager,Graduate,No,670,Yes,France,Rural,Married,Male,37,4,170557.91,Yes,2,Yes,No,0,3250,0,"1,98,253",0,1,752,Not Approved
227,LP001754,15774393,Ch'ien,Manager,Not Graduate,Yes,694,Yes,France,Urban,Divorced,Female,30,9,0,Yes,2,Yes,Yes,0,4735,0,"26,960",0,1,451,Not Approved
228,LP001758,15676895,Cattaneo,Manager,Graduate,No,547,Yes,Germany,Semiurban,Married,Female,39,6,74596.15,Yes,3,Yes,Yes,2,6250,1695,"85,747",1,1,503,Loan Approved
229,LP001760,15637753,O'Sullivan,Manager,Graduate,No,751,Yes,Germany,Semiurban,Divorced,Male,50,2,96888.39,Yes,Yes,Yes,No,0,4758,0,"77,206",1,1,201,Loan Approved
230,LP001761,15605461,Lucas,Manager,Graduate,Yes,594,Yes,Germany,Rural,Not Married,Female,29,3,130830.22,Yes,Yes,Yes,No,0,6400,0,"61,049",0,1,377,Loan Approved
231,LP001765,15808473,Ringrose,Executive,Graduate,No,673,Yes,France,Semiurban,Married,Male,72,1,0,No,2,No,Yes,1,2491,2054,"1,11,981",0,1,612,Loan Approved
232,LP001768,15627000,Freeman,Executive,Graduate,No,610,Yes,France,Rural,Divorced,Male,40,0,0,Yes,2,Yes,No,0,3716,0,"62,233",0,1,213,Loan Approved
233,LP001770,15787174,Sergeyev,Executive,Not Graduate,No,512,Yes,France,Rural,Not Married,Female,37,1,0,No,2,No,Yes,0,3189,2598,"1,56,105",0,1,979,Loan Approved
234,LP001776,15723886,Fiore,Manager,Graduate,No,767,Yes,Germany,Semiurban,Not Married,Male,20,3,119714.25,No,2,No,Yes,0,8333,0,"1,50,135",0,1,909,Loan Approved
235,LP001778,15704769,Smith,Executive,Graduate,No,585,Yes,France,Semiurban,Married,Female,67,5,113978.97,No,2,No,Yes,1,3155,1779,"93,146",0,1,596,Loan Approved
236,LP001784,15772896,Dumetochukwu,Manager,Graduate,No,763,Yes,Germany,Rural,Divorced,Male,42,6,100160.75,Yes,Yes,Yes,No,1,5500,1260,"33,463",1,1,674,Loan Approved
237,LP001786,15711540,Pacheco,Executive,Graduate,No,712,Yes,France,Urban,Divorced,Female,29,2,0,Yes,Yes,Yes,Yes,0,5746,0,"1,44,375",0,1,621,Not Approved
238,LP001788,15764866,Synnot,Manager,Graduate,Yes,539,Yes,Germany,Urban,Not Married,Female,43,3,116220.5,Yes,3,Yes,No,0,3463,0,"55,804",1,1,916,Loan Approved
239,LP001790,15794056,Johnston,Manager,Graduate,No,668,Yes,France,Rural,Not Married,Female,46,2,0,Yes,3,Yes,No,1,3812,0,"89,048",1,1,523,Loan Approved
240,LP001792,15795149,Stevens,Manager,Graduate,No,703,Yes,France,Semiurban,Divorced,Male,28,2,81173.83,No,2,No,Yes,1,3315,0,"1,62,812",0,1,913,Loan Approved
241,LP001798,15812009,Grant,Sr Manager,Graduate,No,662,Yes,Spain,Rural,Divorced,Male,38,4,0,Yes,2,Yes,No,2,5819,5000,"1,36,260",0,1,257,Loan Approved
242,LP001800,15651001,Tsao,Manager,Not Graduate,No,725,Yes,Germany,Urban,Married,Female,39,5,116803.8,Yes,Yes,Yes,No,1,2510,1983,"1,24,053",0,1,815,Not Approved
243,LP001806,15813844,Barnes,Manager,Graduate,No,703,Yes,France,Urban,Not Married,Male,37,8,105961.68,No,2,No,Yes,0,2965,5701,"74,159",0,1,237,Loan Approved
244,LP001807,15596175,McIntosh,Manager,Graduate,Yes,659,Yes,Germany,Rural,Married,Male,67,6,117411.6,Yes,Yes,Yes,Yes,2,6250,1300,"45,071",1,1,518,Loan Approved
245,LP001811,15576269,Madison,Manager,Not Graduate,No,523,Yes,Spain,Semiurban,Divorced,Male,34,7,0,Yes,2,Yes,No,0,3406,4417,"62,030",0,1,348,Loan Approved
246,LP001813,15797219,Ifesinachi,Manager,Graduate,Yes,635,Yes,France,Urban,Not Married,Female,40,10,123497.58,Yes,Yes,Yes,No,0,6050,4333,"1,31,953",1,1,512,Not Approved
247,LP001814,15685500,Glazkov,AVP,Graduate,No,772,Yes,Germany,Urban,Married,Male,26,7,152400.51,Yes,2,Yes,No,2,9703,0,"79,414",0,1,497,Loan Approved
248,LP001819,15599792,Dimauro,Manager,Not Graduate,No,545,Yes,France,Urban,Married,Female,26,1,0,Yes,2,Yes,Yes,1,6608,0,"1,99,639",0,1,231,Loan Approved
249,LP001824,15657566,Wieck,Executive,Graduate,No,634,Yes,Germany,Semiurban,Divorced,Male,24,8,103097.85,Yes,Yes,Yes,Yes,1,2882,1843,"1,57,577",0,1,791,Loan Approved
250,LP001825,15772423,Liao,Executive,Graduate,No,739,Yes,Germany,Urban,Divorced,Male,54,8,126418.14,Yes,Yes,Yes,No,0,1809,1868,"1,34,421",1,1,565,Loan Approved
251,LP001835,15628112,Hughes,Executive,Not Graduate,No,771,No,Germany,Semiurban,Divorced,Female,36,5,77846.9,No,Yes,No,No,0,1668,3890,"99,806",0,1,552,Not Approved
252,LP001836,15753754,Morrison,Sr Manager,Graduate,No,587,Yes,Spain,Urban,Not Married,Female,34,1,0,Yes,2,Yes,Yes,2,3427,0,"97,933",0,1,539,Not Approved
253,LP001841,15793726,Matveyeva,Manager,Not Graduate,Yes,681,Yes,France,Rural,Not Married,Female,79,0,0,No,2,No,Yes,0,2583,2167,"1,70,969",0,1,199,Loan Approved
254,LP001843,15694717,Ku,Sr Manager,Not Graduate,No,544,Yes,Germany,Semiurban,Divorced,Male,37,2,79731.91,Yes,Yes,Yes,Yes,1,2661,7101,"57,559",0,1,819,Loan Approved
255,LP001844,15665834,Cheatham,Manager,Graduate,Yes,696,No,Spain,Urban,Not Married,Male,28,8,0,No,Yes,No,No,0,16250,0,"1,76,713",0,1,958,Not Approved
256,LP001846,15765297,Yao,Executive,Graduate,No,766,Yes,Spain,Rural,Not Married,Male,41,0,0,No,2,No,Yes,3+,3083,0,"34,283",0,1,620,Loan Approved
257,LP001849,15636684,Kirkland,Sr Manager,Not Graduate,No,727,No,France,Rural,Not Married,Male,34,10,0,Yes,2,Yes,Yes,0,6045,0,"1,98,637",0,1,697,Not Approved
258,LP001854,15592979,Rose,Executive,Graduate,No,671,Yes,Germany,Urban,Divorced,Female,34,6,37266.67,No,2,No,No,3+,5250,0,"1,56,917",0,1,454,Not Approved
259,LP001859,15750803,Jess,Executive,Graduate,No,693,Yes,France,Rural,Divorced,Female,30,6,127992.25,Yes,Yes,Yes,Yes,0,14683,2100,"50,457",0,1,350,Not Approved
260,LP001864,15607178,Welch,Manager,Not Graduate,No,850,Yes,Germany,Semiurban,Married,Male,38,3,54901.01,Yes,Yes,Yes,Yes,3+,4931,0,"1,40,076",0,1,758,Not Approved
261,LP001865,15713853,Ifeajuna,Executive,Graduate,No,732,Yes,Germany,Urban,Divorced,Male,42,9,108748.08,Yes,2,Yes,Yes,1,6083,4250,"65,323",0,1,976,Loan Approved
262,LP001868,15673481,Morton,Manager,Graduate,No,726,Yes,Spain,Semiurban,Not Married,Female,48,6,99906.19,Yes,Yes,Yes,No,0,2060,2209,"64,323",0,1,436,Loan Approved
263,LP001870,15686776,Rossi,Manager,Graduate,No,557,Yes,France,Semiurban,Not Married,Female,32,6,184686.41,Yes,2,Yes,No,1,3481,0,"14,956",0,1,527,Not Approved
264,LP001871,15673693,Reppert,Sr Manager,Graduate,No,682,Yes,France,Rural,Not Married,Female,26,0,110654.02,No,Yes,No,Yes,0,7200,0,"1,11,879",0,1,121,Loan Approved
265,LP001872,15700696,Kang,Manager,Graduate,Yes,738,Yes,Spain,Semiurban,Not Married,Male,31,9,79019.8,Yes,Yes,Yes,Yes,0,5166,0,"18,606",0,1,327,Loan Approved
266,LP001875,15813163,Ch'iu,Executive,Graduate,No,531,Yes,Spain,Rural,Not Married,Female,36,9,99240.51,Yes,Yes,Yes,No,0,4095,3447,"1,23,137",0,1,792,Loan Approved
267,LP001877,15653857,Wallis,Manager,Graduate,No,498,Yes,France,Semiurban,Divorced,Male,34,2,0,Yes,2,Yes,Yes,2,4708,1387,"1,48,528",0,1,235,Loan Approved
268,LP001882,15777076,Clark,AVP,Graduate,No,651,No,France,Urban,Divorced,Male,36,7,0,Yes,2,Yes,No,3+,4333,1811,"13,898",0,1,531,Loan Approved
269,LP001883,15717398,Fielding,Manager,Graduate,No,549,Yes,Spain,Rural,Not Married,Female,39,7,0,No,Yes,No,No,0,3418,0,"81,259",1,1,780,Not Approved
270,LP001884,15799217,Zetticci,Sr Manager,Graduate,No,791,Yes,Germany,Urban,Not Married,Female,35,7,52436.2,Yes,Yes,Yes,No,1,2876,1560,"1,61,052",0,1,616,Loan Approved
271,LP001888,15787071,Dulhunty,AVP,Graduate,No,650,Yes,Spain,Urban,Not Married,Male,41,9,0,No,2,No,Yes,0,3237,0,"1,91,600",0,1,714,Loan Approved
272,LP001891,15619955,Bevington,Manager,Graduate,No,733,Yes,Germany,Urban,Divorced,Male,34,3,100337.96,Yes,3,Yes,No,0,11146,0,"48,559",1,1,685,Loan Approved
273,LP001892,15796505,Boyle,Manager,Graduate,No,811,Yes,Germany,Rural,Not Married,Female,34,1,149297.19,Yes,2,Yes,Yes,0,2833,1857,"1,86,340",0,1,157,Loan Approved
274,LP001894,15725166,Newton,VP,Graduate,No,707,Yes,France,Semiurban,Divorced,Male,30,8,0,Yes,2,Yes,No,0,2620,2223,"33,159",0,1,260,Loan Approved
275,LP001896,15800116,Bowman,Manager,Graduate,No,712,Yes,Germany,Semiurban,Married,Male,28,4,145605.44,No,Yes,No,Yes,2,3900,0,"93,884",0,1,395,Loan Approved
276,LP001900,15758685,Dubinina,Manager,Graduate,No,706,Yes,Spain,Semiurban,Married,Female,37,7,0,Yes,2,Yes,Yes,1,2750,1842,"1,10,899",0,1,184,Loan Approved
277,LP001903,15694456,Toscani,Executive,Graduate,No,756,Yes,France,Semiurban,Married,Male,62,3,0,Yes,Yes,Yes,Yes,0,3993,3274,"11,199",1,1,562,Loan Approved
278,LP001904,15767339,Chiazagomekpere,Manager,Graduate,No,777,Yes,France,Urban,Married,Female,53,10,0,Yes,2,Yes,No,0,3103,1300,"1,89,993",0,1,469,Loan Approved
279,LP001907,15683562,Allen,Manager,Graduate,No,646,Yes,France,Semiurban,Married,Male,35,6,84026.86,No,Yes,No,Yes,0,14583,0,"1,64,256",0,1,215,Loan Approved
280,LP001908,15782210,K'ung,Manager,Not Graduate,No,714,Yes,France,Rural,Divorced,Male,46,1,0,Yes,Yes,Yes,No,0,4100,0,"1,52,168",1,1,502,Loan Approved
281,LP001910,15668893,Wilsmore,Manager,Not Graduate,Yes,782,No,France,Urban,Not Married,Male,39,8,0,Yes,2,Yes,Yes,1,4053,2426,"33,950",0,1,949,Not Approved
282,LP001914,15669169,Hargreaves,Executive,Graduate,No,775,Yes,Spain,Semiurban,Divorced,Male,29,10,0,Yes,2,Yes,Yes,0,3927,800,"68,144",0,1,343,Loan Approved
283,LP001915,15643024,Huang,VP,Graduate,No,479,Yes,Germany,Urban,Divorced,Male,35,4,138718.92,Yes,Yes,Yes,Yes,2,2301,985.7999878,"47,252",1,1,848,Loan Approved
284,LP001917,15699389,Ch'ien,Sr Manager,Graduate,No,807,Yes,France,Urban,Not Married,Male,42,7,118274.71,Yes,Yes,Yes,Yes,0,1811,1666,"25,886",0,1,789,Loan Approved
285,LP001922,15708608,Wallwork,AVP,Graduate,No,799,Yes,France,Rural,Divorced,Female,22,8,174185.98,No,2,No,Yes,0,20667,0,"1,92,634",0,1,377,Not Approved
